,RunId,iteration,Step,init_people,rich_threshold,reserve_percent,Rich,Poor,Middle Class,Savings,Wallets,Money,Loans,Model Params,Run,AgentID,Wealth
58,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,8,-70
59,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,9,4
60,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,10,10
61,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,11,-58
62,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,12,-31
63,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,13,-20
64,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,14,49
65,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,15,-142
66,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,16,-58
67,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,17,-6
68,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,18,-32
69,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,19,-9
70,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,20,-21
71,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,21,-10
72,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,22,-10
73,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,23,-9
74,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,24,74
75,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,25,141
76,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,26,-14
77,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,27,-49
78,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,28,53
79,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,29,-28
80,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,30,35
81,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,31,-28
82,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,32,10
83,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,33,-17
84,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,34,22
85,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,35,-34
86,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,36,-14
87,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,37,31
88,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,38,-28
89,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,39,46
90,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,40,-18
91,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,41,-122
92,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,42,13
93,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,43,-29
94,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,44,-22
95,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,45,114
96,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,46,-47
97,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,47,-22
